Alanyl-tRNA synthetases (EC 6.1.1.7)
Class: II
3D known: Yes

SYA1_LACP7  (A9KMW7)    , SYA2_LACP7  (A9KLZ5)    , SYAC_BOMMO  (P21894)    ,
SYI_BACLD   (Q65JV7)    , SYI_BACMK   (A9VTD5)    , SYI_BACSU   (Q45477)    ,
SYI_BACTN   (Q8A9K9)    , SYI_BARHE   (Q6G4S5)    , SYI_BARQU   (Q6G0K6)    ,
SYI_BAUCH   (Q1LSS9)    , SYI_BDEBA   (Q6MKX0)    , SYI_BIFLO   (Q8G3I2)    ,
SYI_BLOFL   (Q7VQL0)    , SYI_BLOPB   (Q493S3)    , SYI_BORA1   (Q2L2K5)    ,
SYI_BORAP   (Q0SM18)    , SYI_BORBR   (Q7WKD5)    , SYI_BORBU   (O51773)    ,
SYI_BORBZ   (B7J0S6)    , SYI_BORDL   (B5RN32)    , SYI_BORGP   (Q65ZU1)    ,
SYI_BORHD   (B2S1H8)    , SYI_BORPA   (Q7W8Z2)    , SYI_BORPD   (A9IRC2)    ,
SYI_BORPE   (Q7VXK3)    , SYI_BORRA   (B5RQH0)    , SYI_BORT9   (A1R0Q9)    ,
SYI_BRADU   (Q89DF8)    , SYI_BRAHW   (C0R112)    , SYI_BREBN   (C0ZG86)    ,
SYI_BRUA2   (P0C124)    , SYI_BRUAB   (P0C123)    , SYI_BRUME   (Q8YB57)    ,
SYI_BRUSU   (Q8FX81)    , SYI_BUCA5   (B8D8V0)    , SYI_BUCAI   (P57249)    ,
SYI_BUCAP   (Q8K9Z2)    , SYI_BUCAT   (B8D754)    , SYI_BUCBP   (Q89AU9)    ,
SYI_BUCCC   (Q057X9)    , SYI_BURA4   (B1YVA4)    , SYI_BURCH   (A0K9T5)    ,
SYI_BURCJ   (B4E8Z7)    , SYI_BURCM   (Q0BCK8)    , SYI_BURL3   (Q39DM8)    ,
SYI_BURM1   (A9AGN6)    , SYI_BURO0   (B1JXC3)    , SYI_BURO1   (Q1BUA1)    ,
SYI_BURTA   (Q2T0H3)    , SYI_BURVG   (A4JH32)    , SYI_CALBD   (B9MRZ5)    ,
SYI_CALS4   (Q8R9L3)    , SYI_CALS8   (A4XKR2)    , SYI_CAMC1   (A8Z6P6)    ,
SYI_CAMC5   (A7GX26)    , SYI_CAMFF   (A0RNK3)    , SYI_CAMHC   (A7I1S7)    ,
SYI_CAMJE   (P41257)    , SYI_CAMJR   (Q5HU41)    , SYI_CAMLR   (B9KD44)    ,
SYI_CARHZ   (Q3AEP2)    , SYI_CAUVC   (Q9AAA5)    , SYI_CHLAB   (Q5L5L0)    ,
SYI_CHLCV   (Q822L8)    , SYI_CHLMU   (Q9PL20)    , SYI_CHLPN   (Q9Z972)    ,
SYI_CHLT2   (B0B9C6)    , SYI_CHLTA   (Q3KN03)    , SYI_CHLTB   (B0BB05)    ,
SYI_CHLTE   (Q8KFL5)    , SYI_CHLTR   (O84022)    , SYI_CHRSD   (Q1R0B5)    ,
SYI_CHRVO   (Q7NS57)    , SYI_CITK8   (A8ALT6)    , SYI_CLOAB   (Q97ES0)    ,
SYI_CLOK5   (A5N3P1)    , SYI_CLONN   (A0Q3B0)    , SYI_CLOPE   (Q8XHE4)    ,
SYI_CLOTE   (Q899C3)    , SYI_COLP3   (Q486U0)    , SYI_CORDI   (Q6NGD7)    ,
SYI_COREF   (Q8FNV0)    , SYI_CORGL   (Q8NNP0)    , SYI_CORJK   (Q4JW85)    ,
SYI_COXB1   (B6J9J5)    , SYI_COXB2   (B6J1S2)    , SYI_COXBN   (A9KEI8)    ,
SYI_COXBR   (A9NBM5)    , SYI_COXBU   (Q83EC9)    , SYI_CROS5   (B1WVA3)    ,
SYI_CROS8   (A7MIM3)    , SYI_CUPMC   (Q1LJB8)    , SYI_CUPNH   (Q0K7A0)    ,
SYI_CUPPJ   (Q46XM7)    , SYI_CUPTR   (B3R6E8)    , SYI_CUTAK   (Q6AB89)    ,
SYI_CYAP4   (B8HMX3)    , SYI_CYTH3   (Q11NV4)    , SYI_DECAR   (Q47BK5)    ,
SYI_DEHM1   (Q3Z7P5)    , SYI_DEHMC   (Q3ZY20)    , SYI_DEIRA   (Q9RUP8)    ,
SYI_DESAP   (B1I4A3)    , SYI_DESDA   (B8J3R3)    , SYI_DESHD   (B8FT35)    ,
SYI_DESHY   (Q24TH1)    , SYI_DESPS   (Q6AK45)    , SYI_DESRM   (A4J2F4)    ,
SYI_DESVH   (Q72AR5)    , SYI_DESVM   (B8DPD6)    , SYI_DESVV   (A1VCU3)    ,
SYI_DICNV   (A5EWT0)    , SYI_ECO24   (A7ZHB5)    , SYI_ECO27   (B7UI71)    ,
SYI_ECO45   (B7MAE6)    , SYI_ECO55   (B7L4E8)    , SYI_ECO57   (Q8XA49)    ,
SYI_ECO5E   (B5YYB8)    , SYI_ECO7I   (B7NHD0)    , SYI_ECO81   (B7MNN1)    ,
SYI_ECO8A   (B7M0C2)    , SYI_ECOBW   (C4ZPV2)    , SYI_ECODH   (B1XBF1)    ,
SYI_ECOHS   (A7ZVX4)    , SYI_ECOK1   (A1A774)    , SYI_ECOL5   (Q0TLW5)    ,
SYI_ECOL6   (Q8FLB7)    , SYI_ECOLC   (B1IRE9)    , SYI_ECOLI   (P00956)    ,
SYI_ECOLU   (B7N7Q0)    , SYI_ECOSE   (B6HZ21)    , SYI_ECOSM   (B1LFV6)    ,
SYI_ECOUT   (Q1RGH6)    , SYI_EDWI9   (C5B7M4)    , SYI_EHRCJ   (Q3YRX3)    ,
SYI_EHRRG   (Q5FH91)    , SYI_EHRRW   (Q5HB43)    , SYI_ENTFA   (Q836V1)    ,
SYI_ERWT9   (B2VGR6)    , SYI_ESCF3   (B7LVN2)    , SYI_EXIS2   (B1YIS7)    ,
SYI_FERNB   (A7HMY6)    , SYI_FERPD   (Q9XDB4)    , SYI_FRAP2   (B0TZQ5)    ,
SYI_FRAT1   (Q14HT2)    , SYI_FRATF   (A7NAD2)    , SYI_FRATH   (Q2A4Z4)    ,
SYI_FRATM   (B2SF88)    , SYI_FRATN   (A0Q529)    , SYI_FRATO   (Q0BNB5)    ,
SYI_FRATT   (Q5NGD0)    , SYI_FRATW   (A4IYP1)    , SYI_FUSNN   (Q8RH47)    ,
SYI_GEOKA   (Q5L0V9)    , SYI_GEOSL   (Q747X9)    , SYI_GEOSW   (C5D8P2)    ,
SYI_GEOTN   (A4IM25)    , SYI_GLAP5   (B8F5E2)    , SYI_GLOC7   (B7KFT1)    ,
SYI_GLOVI   (Q7NF75)    , SYI_GLUOX   (Q5FRI6)    , SYI_HAEDU   (Q7VP34)    ,
SYI_HAEI8   (Q4QLU5)    , SYI_HAEIE   (A5UDA6)    , SYI_HAEIG   (A5UIA3)    ,
SYI_HAEIN   (P43824)    , SYI_HAHCH   (Q2S9T9)    , SYI_HALH5   (Q9K9V0)    ,
SYI_HALHL   (A1WY38)    , SYI_HALMA   (Q5UZ84)    , SYI_HALOH   (B8CWL4)    ,
SYI_HALSA   (Q9HN97)    , SYI_HALWD   (Q18GW3)    , SYI_HELAH   (Q17ZG3)    ,
SYI_HELHP   (Q7VGX8)    , SYI_HELP2   (B6JNR5)    , SYI_HELPG   (B5Z943)    ,
SYI_HELPH   (Q1CRK7)    , SYI_HELPJ   (Q9ZJJ1)    , SYI_HELPS   (B2UVG2)    ,
SYI_HELPY   (P56456)    , SYI_HERAR   (A4G3E6)    , SYI_HISS1   (Q0I1V8)    ,
SYI_HISS2   (B0UV12)    , SYI_HYDS0   (B4U8K1)    , SYI_IDILO   (Q5QZS6)    ,
SYI_JANMA   (A6SW71)    , SYI_KLEAE   (P13502)    , SYI_KLEP3   (B5Y235)    ,
SYI_KOSOT   (C5CHA1)    , SYI_LACAC   (Q5FKU5)    , SYI_LACCB   (B3WDZ1)    ,
SYI_LACDA   (Q1GAS8)    , SYI_LACDB   (Q04B65)    , SYI_LACH4   (A8YUP7)    ,
SYI_LACJO   (Q74JX6)    , SYI_LACLA   (Q9CEH8)    , SYI_LACP3   (Q039Q9)    ,
SYI_LACPL   (Q88V89)    , SYI_LARHH   (C1DCX2)    , SYI_LATSS   (Q38XM0)    ,
SYI_LAWIP   (Q1MPH2)    , SYI_LEGPA   (Q5X6G6)    , SYI_LEGPC   (A5IFX5)    ,
SYI_LEGPH   (Q5ZWZ6)    , SYI_LEGPL   (Q5WXX1)    , SYI_LEIXX   (Q6AFZ0)    ,
SYI_LEPBA   (B0SBW4)    , SYI_LEPBJ   (Q04QS6)    , SYI_LEPBL   (Q053V3)    ,
SYI_LEPBP   (B0STE5)    , SYI_LEPIC   (Q72PR7)    , SYI_LEPIN   (Q8F6I1)    ,
SYI_LEVBA   (Q03QI3)    , SYI_LIGS1   (Q1WTA9)    , SYI_LIMF3   (B2GB86)    ,
SYI_LIMRJ   (B2G6L2)    , SYI_LISIN   (Q929Z6)    , SYI_LISMC   (C1KWW3)    ,
SYI_LISMF   (Q71Y01)    , SYI_LISMH   (B8DBR2)    , SYI_LISMO   (Q8Y5N8)    ,
SYI_LISW6   (A0AKC5)    , SYI_MACCJ   (B9EB60)    , SYI_MALP2   (Q8EUN9)    ,
SYI_MANSM   (Q65RQ2)    , SYI_MARMS   (A6W346)    , SYI_MARN8   (A1TYY9)    ,
SYI_MARSD   (C6BV89)    , SYI_MESFL   (Q6F175)    , SYI_MESH2   (Q602B7)    ,
SYI_MESH7   (Q4A8Y0)    , SYI_MESHJ   (Q4AAS1)    , SYI_MESM1   (Q6KHN7)    ,
SYI_META3   (A6UVK2)    , SYI_METAC   (Q8TN62)    , SYI_METAR   (Q0W720)    ,
SYI_METB6   (A7IAM2)    , SYI_METBF   (Q465G4)    , SYI_METBU   (Q12ZD1)    ,
SYI_METCA   (Q605M7)    , SYI_METHJ   (Q2FPJ4)    , SYI_METI4   (B3DYQ6)    ,
SYI_METJA   (Q58357)    , SYI_METKA   (Q8TWY2)    , SYI_METLZ   (A2SPV6)    ,
SYI_METMA   (Q8PSV9)    , SYI_METMJ   (A3CSI6)    , SYI_METMP   (Q6LX78)    ,
SYI_METTH   (O27428)    , SYI_METTM   (P26499)    , SYI_METTP   (A0B7P3)    ,
SYI_MICAN   (B0JSP4)    , SYI_MOOTA   (Q2RK59)    , SYI_MYCAP   (A5IY09)    ,
SYI_MYCBO   (Q7VEZ0)    , SYI_MYCGA   (Q7NBG0)    , SYI_MYCGE   (P47587)    ,
SYI_MYCLE   (Q9X7E5)    , SYI_MYCMS   (Q6MT28)    , SYI_MYCPA   (Q740U6)    ,
SYI_MYCPN   (P75258)    , SYI_MYCPU   (Q98PQ2)    , SYI_MYCS5   (Q4A5K5)    ,
SYI_MYCTO   (P9WFV2)    , SYI_MYCTU   (P9WFV3)    , SYI_NATPD   (Q3ITY7)    ,
SYI_NATTJ   (B2A2I8)    , SYI_NAUPA   (B9L8Z9)    , SYI_NEIG1   (Q5FAF5)    ,
SYI_NEIG2   (B4RPY6)    , SYI_NEIM0   (A9M1J7)    , SYI_NEIMA   (Q9JVY4)    ,
SYI_NEIMB   (Q9JXY7)    , SYI_NEIMF   (A1KS62)    , SYI_NITEU   (Q820M6)    ,
SYI_NITOC   (Q3J8W1)    , SYI_NITSB   (A6Q4I1)    , SYI_NITWN   (Q3SPJ6)    ,
SYI_NOCFA   (Q5YYW9)    , SYI_NOSP7   (B2IZP5)    , SYI_NOSS1   (Q8YXY3)    ,
SYI_OLEA2   (Q30ZF7)    , SYI_ONYPE   (Q6YR34)    , SYI_PARMW   (Q7U9G9)    ,
SYI_PARP8   (B2JDY9)    , SYI_PARPJ   (B2T6I7)    , SYI_PARUW   (Q6MDY1)    ,
SYI_PARXL   (Q13UW2)    , SYI_PASMU   (Q9CKF7)    , SYI_PECAS   (Q6D0C3)    ,
SYI_PECCP   (C6DF04)    , SYI_PEDPA   (Q03EY9)    , SYI_PELUB   (Q4FPA9)    ,
SYI_PERMH   (C0QP76)    , SYI_PETMO   (A9BI29)    , SYI_PHOLL   (Q7N8X2)    ,
SYI_PHOPR   (Q6LUL1)    , SYI_PICTO   (Q6L206)    , SYI_PORGI   (Q7MUD3)    ,
SYI_PROM0   (A3PAV8)    , SYI_PROM1   (A2C071)    , SYI_PROM2   (A8G2P6)    ,
SYI_PROM4   (A9BDK6)    , SYI_PROM5   (A2BUL8)    , SYI_PROM9   (Q31CU4)    ,
SYI_PROMA   (Q7VDV0)    , SYI_PROMH   (B4F2T5)    , SYI_PROMM   (Q7TUN3)    ,
SYI_PROMP   (Q7V352)    , SYI_PROMS   (A2BP36)    , SYI_PROMT   (Q46HD5)    ,
SYI_PSE14   (Q48NK6)    , SYI_PSEA6   (Q15R04)    , SYI_PSEA7   (A6VBU7)    ,
SYI_PSEA8   (B7V0A3)    , SYI_PSEAB   (Q02GB7)    , SYI_PSEAE   (Q9HVM4)    ,
SYI_PSEE4   (Q1I4S5)    , SYI_PSEF5   (Q4K5U4)    , SYI_PSEFS   (C3KDX4)    ,
SYI_PSELT   (A8F465)    , SYI_PSEMY   (A4XQV5)    , SYI_PSEP1   (A5VY52)    ,
SYI_PSEPF   (Q3K6L5)    , SYI_PSEPG   (B0KM84)    , SYI_PSEPK   (Q88Q92)    ,
SYI_PSEPW   (B1JF83)    , SYI_PSESM   (Q889E4)    , SYI_PSET1   (Q3IEA2)    ,
SYI_PSEU2   (Q4ZYJ4)    , SYI_PSYA2   (Q4FUS5)    , SYI_PSYIN   (A1SZP3)    ,
SYI_PYRAB   (Q9V072)    , SYI_PYRAE   (Q8ZWU4)    , SYI_PYRFU   (P46214)    ,
SYI_PYRHO   (O58792)    , SYI_RALPJ   (B2UAQ4)    , SYI_RHILO   (Q983N4)    ,
SYI_RHOBA   (Q7UNZ2)    , SYI_RHOPA   (Q6N1M8)    , SYI_RICAE   (C3PP60)    ,
SYI_RICAH   (A8GPA1)    , SYI_RICB8   (A8GW18)    , SYI_RICBR   (Q1RIY1)    ,
SYI_RICCK   (A8EY49)    , SYI_RICCN   (Q92H19)    , SYI_RICFE   (Q4UMD8)    ,
SYI_RICPR   (Q9ZCU4)    , SYI_RICPU   (C4K2T0)    , SYI_RICTY   (Q68WC2)    ,
SYI_RIPO1   (B7K5H5)    , SYI_RUEPO   (Q5LNR7)    , SYI_RUTMC   (A1AW09)    ,
SYI_SACD2   (Q21HK3)    , SYI_SACS2   (Q9UXB1)    , SYI_SALCH   (Q57TL5)    ,
SYI_SALEP   (B5R1N6)    , SYI_SALG2   (B5RF43)    , SYI_SALPA   (Q5PDL9)    ,
SYI_SALPK   (B5BLL0)    , SYI_SALTI   (Q8Z9N2)    , SYI_SALTY   (Q8ZRZ0)    ,
SYI_SERP5   (A8G9L4)    , SYI_SHEAM   (A1S425)    , SYI_SHEB2   (B8EFC7)    ,
SYI_SHEB5   (A3D1G5)    , SYI_SHEB8   (A6WKD4)    , SYI_SHEB9   (A9L4U7)    ,
SYI_SHEHH   (B0TJA9)    , SYI_SHELP   (A3QBX2)    , SYI_SHEON   (Q8EBI4)    ,
SYI_SHEPA   (A8H1H3)    , SYI_SHEPC   (A4Y4A4)    , SYI_SHEPW   (B8CSC1)    ,
SYI_SHESA   (A0KZZ1)    , SYI_SHESH   (A8FSI2)    , SYI_SHESM   (Q0HFY9)    ,
SYI_SHESR   (Q0HS82)    , SYI_SHESW   (A1RMM6)    , SYI_SHEWM   (B1KIT5)    ,
SYI_SHIB3   (B2U245)    , SYI_SHIBS   (Q326J7)    , SYI_SHIDS   (Q32K71)    ,
SYI_SHIFL   (Q83MH2)    , SYI_SHISS   (Q3Z5Y4)    , SYI_SHOC1   (Q5WFI3)    ,
SYI_SODGM   (Q2NVY6)    , SYI_STAA1   (A7X1D8)    , SYI_STAA2   (A6U113)    ,
SYI_STAA3   (Q2FHP4)    , SYI_STAA8   (Q2FZ82)    , SYI_STAA9   (A5IS79)    ,
SYI_STAAB   (Q2YXH4)    , SYI_STAAC   (Q5HGN8)    , SYI_STAAE   (A6QG93)    ,
SYI_STAAM   (P67508)    , SYI_STAAN   (P67509)    , SYI_STAAR   (Q6GHP2)    ,
SYI_STAAS   (Q6GA19)    , SYI_STAAT   (A8Z3N1)    , SYI_STAAW   (Q8NX29)    ,
SYI_STACT   (B9DPP7)    , SYI_STAEP   (Q846V6)    , SYI_STAEQ   (Q5HPZ9)    ,
SYI_STAES   (Q8CSX1)    , SYI_STAHJ   (Q4L5P4)    , SYI_STAS1   (Q49WX5)    ,
SYI_STRA1   (Q3K2N4)    , SYI_STRA3   (Q8E6N1)    , SYI_STRA5   (Q8E177)    ,
SYI_STRAW   (Q82AC9)    , SYI_STRCO   (Q9S2X5)    , SYI_STRGC   (A8AW24)    ,
SYI_STRM5   (B4SP18)    , SYI_STRMK   (B2FTJ0)    , SYI_STRMU   (Q8DVD3)    ,
SYI_STRP1   (Q99YW3)    , SYI_STRP2   (Q04JB0)    , SYI_STRP3   (P0DG42)    ,
SYI_STRP4   (B5E709)    , SYI_STRP6   (Q5XB14)    , SYI_STRP7   (C1C8P8)    ,
SYI_STRP8   (Q8P068)    , SYI_STRPI   (B1I721)    , SYI_STRPJ   (B8ZM55)    ,
SYI_STRPM   (Q48SL8)    , SYI_STRPN   (P0CB61)    , SYI_STRPQ   (P0DG43)    ,
SYI_STRPS   (B2IRR4)    , SYI_STRR6   (Q8DNW4)    , SYI_STRSV   (A3CLP4)    ,
SYI_STRT1   (Q5M0C5)    , SYI_STRT2   (Q5M4X2)    , SYI_STRTD   (Q03L88)    ,
SYI_STRZJ   (C1CFN0)    , SYI_STRZP   (C1CLZ8)    , SYI_STRZT   (C1CSS4)    ,
SYI_STUS1   (A4VI60)    , SYI_SULAC   (P46215)    , SYI_SULDN   (Q30SH2)    ,
SYI_SULIA   (C3N5S5)    , SYI_SULIM   (C3MVH6)    , SYI_SULNB   (A6QB84)    ,
SYI_SULSY   (B2V9T1)    , SYI_SULTO   (Q975H9)    , SYI_SYMTH   (Q67Q27)    ,
SYI_SYNC1   (Q3A1R3)    , SYI_SYNP6   (Q5N1G1)    , SYI_SYNS3   (Q0IDA5)    ,
SYI_SYNWW   (Q0AYC7)    , SYI_SYNY3   (P73505)    , SYI_TERTT   (C5BQX2)    ,
SYI_TETTH   (P36422)    , SYI_THEAB   (B7IGT1)    , SYI_THEAC   (Q9HJT4)    ,
SYI_THEFY   (Q47QV9)    , SYI_THEKO   (Q5JJ31)    , SYI_THEM4   (A6LK77)    ,
SYI_THEMA   (P46213)    , SYI_THENN   (B9K8X3)    , SYI_THEP1   (A5IML2)    ,
SYI_THEP3   (B0K8R7)    , SYI_THEPX   (B0K2W1)    , SYI_THET2   (Q72JR6)    ,
SYI_THET8   (P56690)    , SYI_THEVB   (Q8DGI7)    , SYI_THEVO   (Q97AG7)    ,
SYI_THIDA   (Q3SHS3)    , SYI_THISH   (B8GQR1)    , SYI_TREDE   (Q73JB2)    ,
SYI_TREPA   (O83466)    , SYI_TREPS   (B2S348)    , SYI_TROW8   (Q83I16)    ,
SYI_TROWT   (Q83G52)    , SYI_UREPA   (Q9PQ79)    , SYI_VESOH   (A5CX61)    ,
SYI_VIBA3   (B7VJ87)    , SYI_VIBC1   (A7MTD6)    , SYI_VIBC3   (A5F8Z3)    ,
SYI_VIBCH   (Q9KU47)    , SYI_VIBCM   (C3LST7)    , SYI_VIBPA   (Q87S90)    ,
SYI_VIBVU   (Q8DES7)    , SYI_VIBVY   (Q7MNM8)    , SYI_WIGBR   (Q8D2R0)    ,
SYI_WOLPM   (Q73HW7)    , SYI_WOLSU   (Q7MAL0)    , SYI_WOLTR   (Q5GSS3)    ,
SYI_XANAC   (Q8PN19)    , SYI_XANC5   (Q3BW42)    , SYI_XANC8   (Q4US40)    ,
SYI_XANCB   (B0RY28)    , SYI_XANCP   (Q8PBG6)    , SYI_XANOM   (Q2P5B0)    ,
SYI_XANOR   (Q5H2E1)    , SYI_XYLF2   (B2I6V2)    , SYI_XYLFA   (Q9PAS7)    ,
SYI_XYLFM   (B0U3Q9)    , SYI_XYLFT   (Q87BL5)    , SYI_YERE8   (A1JJE1)    ,
SYI_YERP3   (A7FMD7)    , SYI_YERPA   (Q1C0J3)    , SYI_YERPB   (B2K3M6)    ,
SYI_YERPE   (Q8ZIM0)    , SYI_YERPG   (A9R008)    , SYI_YERPN   (Q1CMV1)    ,
SYI_YERPP   (A4TQF3)    , SYI_YERPS   (Q66ES4)    , SYI_YERPY   (B1JKZ8)    ,
SYI_ZYMMO   (Q5NQQ7)    

-----------------------------------------------------------------------

Lysyl-tRNA synthetases (EC 6.1.1.6)
Class: I and II
3D known: Yes

CLA4_CLACD  (A0A120HYZ1), LYSX_GORB4  (D0LB45)    , LYSX_MYCA1  (A0QHC4)    ,
LYSX_MYCA9  (B1MAX9)    , LYSX_MYCBO  (Q7VEV7)    , LYSX_MYCBP  (A1KJ57)    ,
LYSX_MYCBT  (C1ANR3)    , LYSX_MYCGI  (A4T9U2)    , LYSX_MYCLB  (B8ZRJ4)    ,
LYSX_MYCLE  (Q9CC23)    , LYSX_MYCMM  (B2HR11)    , LYSX_MYCPA  (Q740J9)    ,
LYSX_MYCS2  (A0QYV1)    , LYSX_MYCSJ  (A3Q0V0)    , LYSX_MYCSK  (A1UHB3)    ,
LYSX_MYCSS  (Q1B7P4)    , LYSX_MYCTA  (A5U2Z7)    , LYSX_MYCTF  (A5WMW1)    ,
LYSX_MYCTK  (C6DS31)    , LYSX_MYCTO  (P9WFU6)    , LYSX_MYCTU  (P9WFU7)    ,
LYSX_MYCUA  (A0PP57)    , LYSX_MYCVP  (A1TAC7)    , LYSX_NOCFA  (Q5Z3P6)    ,
LYSX_RHOE4  (C0ZL89)    , LYSX_RHOJR  (Q0SAA3)    , LYSX_RHOOB  (C1B7Z5)    ,
SYK1_ECO57  (Q8XD57)    , SYK1_ECOL6  (P0A8N4)    , SYK1_ECOLI  (P0A8N3)    ,
SYK1_METAC  (Q8TTA3)    , SYK1_METMA  (Q8PWA0)    , SYK1_MYCBO  (P67608)    ,
SYK1_MYCPU  (Q98QH1)    , SYK1_MYCTO  (P9WFU8)    , SYK1_MYCTU  (P9WFU9)    ,
SYK1_SALTI  (Q8Z3X8)    , SYK1_SALTY  (P28354)    , SYK1_SHIFL  (Q83JU6)    ,
SYK2_ECO57  (P0A8N6)    , SYK2_ECOL6  (Q8FAT5)    , SYK2_ECOLI  (P0A8N5)    ,
SYK2_METAC  (Q8TSN5)    , SYK2_METMA  (Q8PVP6)    , SYK2_MYCPU  (Q98QG4)    ,
SYKC_ARATH  (Q9ZPI1)    , SYKC_ENCCU  (Q8SS56)    , SYKC_ENTBH  (A9CS74)    ,
SYKC_SCHPO  (Q9UUE6)    , SYKC_VAIC1  (C4V8R9)    , SYKC_YEAST  (P15180)    ,
SYKM_ARATH  (Q9LJE2)    , SYKM_SCHPO  (O74858)    , SYKM_YEAST  (P32048)    ,
SYK_ACIAD   (Q43990)    , SYK_ACIB3   (B7GXW0)    , SYK_ACIBS   (B0VSE0)    ,
SYK_ACIBT   (A3M3D6)    , SYK_ACIBY   (B0V9L5)    , SYK_ACTP2   (A3N0G9)    ,
SYK_ACTP7   (B3H1E8)    , SYK_ACTPJ   (B0BP90)    , SYK_ACTSZ   (A6VPH6)    ,
SYK_AERHH   (A0KNK7)    , SYK_AERPE   (Q9YFT9)    , SYK_AERS4   (A4SJK0)    ,
SYK_AGRFC   (Q8U7H6)    , SYK_ALIB4   (A8ESJ5)    , SYK_ALIF1   (Q5E7P8)    ,
SYK_ALIFM   (B5F9U5)    , SYK_ALISL   (B6EMX2)    , SYK_ANAD2   (B8JFW2)    ,
SYK_ANADE   (Q2IPX5)    , SYK_ANASK   (B4UGU5)    , SYK_AQUAE   (O67258)    ,
SYK_ARCFU   (O29052)    , SYK_AROAE   (Q5NY31)    , SYK_AYWBP   (Q2NJZ8)    ,
SYK_AZOPC   (B6YRR7)    , SYK_AZOSB   (A1K5J9)    , SYK_BACAH   (A0R8E9)    ,
SYK_BACAN   (Q81VW3)    , SYK_BACC0   (B7JK84)    , SYK_BACC1   (Q73FD1)    ,
SYK_BACC2   (B7ISY7)    , SYK_BACC4   (B7HJ16)    , SYK_BACC7   (B7HPY8)    ,
SYK_BACCN   (A7GJY9)    , SYK_BACCR   (Q81J70)    , SYK_BACCZ   (Q63HC2)    ,
SYK_BACFN   (Q5L9E5)    , SYK_BACFR   (Q64PM9)    , SYK_BACHK   (Q6HPU0)    ,
SYK_BACMK   (A9VN90)    , SYK_BACSU   (P37477)    , SYK_BACTN   (Q8A5W4)    ,
SYK_BAUCH   (Q1LTU4)    , SYK_BLOFL   (Q7VRF5)    , SYK_BLOPB   (Q493E1)    ,
SYK_BORAF   (Q937W6)    , SYK_BORBR   (Q7WK46)    , SYK_BORBU   (O51603)    ,
SYK_BORGP   (Q937U7)    , SYK_BORPA   (Q7W8T6)    , SYK_BORPD   (A9IQY2)    ,
SYK_BORPE   (Q7VZ37)    , SYK_BRUME   (Q8YCM8)    , SYK_BRUSU   (P59225)    ,
SYK_BUCAI   (P57512)    , SYK_BUCAP   (Q8K9C5)    , SYK_BUCBP   (Q89AC5)    ,
SYK_BUCCC   (Q057G7)    , SYK_BURA4   (B1YT20)    , SYK_BURCH   (A0K8P2)    ,
SYK_BURCJ   (B4EDB2)    , SYK_BURCM   (Q0BDR2)    , SYK_BURM1   (A9AGV1)    ,
SYK_BURM7   (A3ML91)    , SYK_BURM9   (A2SAT3)    , SYK_BURMA   (Q62IZ9)    ,
SYK_BURMS   (A1V5L6)    , SYK_BURO0   (B1JUZ7)    , SYK_BURO1   (Q1BHT1)    ,
SYK_BURP0   (A3NX27)    , SYK_BURP1   (Q3JQP3)    , SYK_BURP6   (A3NB96)    ,
SYK_BURPS   (Q63SN9)    , SYK_BURTA   (Q2SXD6)    , SYK_BURVG   (A4JFZ6)    ,
SYK_CAEEL   (Q22099)    , SYK_CALS4   (Q8R7N1)    , SYK_CAMHC   (A7I3S8)    ,
SYK_CAMJ8   (A8FKI8)    , SYK_CAMJD   (A7H4X7)    , SYK_CAMJE   (P41258)    ,
SYK_CAMJJ   (A1VYC1)    , SYK_CAMJR   (Q5HW66)    , SYK_CAMUP   (Q46464)    ,
SYK_CARHZ   (Q3A9M2)    , SYK_CAUSK   (B0T2A6)    , SYK_CAUVC   (Q9ABY6)    ,
SYK_CAUVN   (B8GXH3)    , SYK_CENSM   (P0CW89)    , SYK_CENSY   (P0CW90)    ,
SYK_CHLAA   (A9WK04)    , SYK_CHLAB   (Q5L545)    , SYK_CHLCH   (Q3ARD7)    ,
SYK_CHLCV   (Q821U6)    , SYK_CHLFF   (Q255U2)    , SYK_CHLL3   (Q3B365)    ,
SYK_CHLMU   (Q9PLE1)    , SYK_CHLP8   (B3QMN9)    , SYK_CHLPN   (Q9Z6X5)    ,
SYK_CHLT2   (B0B907)    , SYK_CHLTA   (Q3KKR1)    , SYK_CHLTB   (B0BAN6)    ,
SYK_CHLTE   (Q8KCM7)    , SYK_CHLTR   (O84786)    , SYK_CHRFK   (A0M5H8)    ,
SYK_CHRSD   (Q1QT66)    , SYK_CHRVO   (Q7NZ62)    , SYK_CITK8   (A8AP96)    ,
SYK_CLOAB   (Q97EB7)    , SYK_CLOB1   (A7FZA5)    , SYK_CLOBH   (A5I7P4)    ,
SYK_CLOBK   (B1IGJ2)    , SYK_CLOBL   (A7GJB3)    , SYK_CLOBM   (B1KTC1)    ,
SYK_CLOK5   (A5N4L1)    , SYK_CLONN   (A0PXN4)    , SYK_CLOP1   (Q0TMI7)    ,
SYK_CLOPE   (Q8XHL8)    , SYK_CLOPS   (Q0SQ86)    , SYK_CLOTE   (Q899G7)    ,
SYK_COLP3   (Q47WT5)    , SYK_COXB1   (B6J8K2)    , SYK_COXB2   (B6J1P6)    ,
